SampleID	yid	Genotype
biomap_3IIH6	biomap	3IIH6
biomap_A188	biomap	A188
biomap_FBLL	biomap	FBLL
biomap_LH146Ht	biomap	LH146Ht
biomap_LH168	biomap	LH168
biomap_LH185	biomap	LH185
biomap_LH198	biomap	LH198
biomap_LH200	biomap	LH200
biomap_LH59	biomap	LH59
biomap_LH74	biomap	LH74
biomap_LH82	biomap	LH82
biomap_NP899	biomap	NP899
biomap_PHAA0	biomap	PHAA0
biomap_PHJ89	biomap	PHJ89
biomap_PHK46	biomap	PHK46
biomap_PHK56	biomap	PHK56
biomap_PHK76	biomap	PHK76
biomap_PHKM5	biomap	PHKM5
biomap_PHMK0	biomap	PHMK0
biomap_PHN46	biomap	PHN46
biomap_PHP02	biomap	PHP02
biomap_PHP38	biomap	PHP38
biomap_PHR03	biomap	PHR03
biomap_PHT11	biomap	PHT11
biomap_PHV78	biomap	PHV78
biomap_PHW52	biomap	PHW52
biomap_W37A	biomap	W37A
biomap_W606S	biomap	W606S
biomap_PHG50	biomap	PHG50
biomap_W605S	biomap	W605S
biomap_PHG29	biomap	PHG29
biomap_PHG72	biomap	PHG72
biomap_DKHBA1	biomap	DKHBA1
biomap_Oh43	biomap	Oh43
biomap_PHG83	biomap	PHG83
biomap_LH156	biomap	LH156
biomap_LH145	biomap	LH145
biomap_LH85	biomap	LH85
biomap_Mo45	biomap	Mo45
biomap_NC230	biomap	NC230
biomap_NKH8431	biomap	NKH8431
biomap_PHG47	biomap	PHG47
biomap_B84	biomap	B84
biomap_PHG39	biomap	PHG39
biomap_LH93	biomap	LH93
biomap_PHW65	biomap	PHW65
biomap_PHG35	biomap	PHG35
biomap_PHN11	biomap	PHN11
biomap_LH123Ht	biomap	LH123Ht
biomap_W604S	biomap	W604S
biomap_CR1Ht	biomap	CR1Ht
biomap_PH207	biomap	PH207
biomap_PHB47	biomap	PHB47
biomap_PHJ40	biomap	PHJ40
biomap_Mo17	biomap	Mo17
biomap_SCRO1	biomap	SCRO1
biomap_MoG	biomap	MoG
biomap_Mo44	biomap	Mo44
biomap_AS5707	biomap	AS5707
biomap_W182Ngt	biomap	W182Ngt
hmp2_W22	hmp2	W22
hmp2_MO17	hmp2	MO17
hmp2_CAUMO17	hmp2	CAUMO17
hmp2_B73-1	hmp2	B73-1
hmp3_PHP02	hmp3	PHP02
hmp3_PHG35	hmp3	PHG35
hmp3_PHG72	hmp3	PHG72
hmp3_PH207	hmp3	PH207
hmp3_PHJ40	hmp3	PHJ40
hmp3_LH156	hmp3	LH156
hmp3_LH59	hmp3	LH59
hmp3_LH74	hmp3	LH74
hmp3_LH82	hmp3	LH82
hmp3_LH85	hmp3	LH85
hmp3_PHG39	hmp3	PHG39
hmp3_PHG47	hmp3	PHG47
hmp3_B73	hmp3	B73
hmp3_LH145	hmp3	LH145
hmp3_Oh43	hmp3	Oh43
hmp3_Mo17	hmp3	Mo17
hmp3_W22	hmp3	W22
